userId,movieId,groupId,rating,,,
1,1,1,4,,,
1,3,1,4,,,
1,6,1,4,,,
1,47,1,5,,,
1,50,1,5,,,
1,70,1,3,,,
1,101,1,5,,,
1,110,1,4,,,
1,151,1,5,,,
1,157,1,5,,,
1,163,1,5,,,
1,216,1,5,,,
1,223,1,3,,,
1,231,1,5,,,
1,235,1,4,,,
1,260,1,5,,,
1,296,1,3,,,
1,316,1,3,,,
1,333,1,5,,,
1,349,1,4,,,
1,356,1,4,,,
1,362,1,5,,,
1,367,1,4,,,
1,423,1,3,,,
1,441,1,4,,,
1,457,1,5,,,
1,480,1,4,,,
1,500,1,3,,,
1,527,1,5,,,
1,543,1,4,,,
1,552,1,4,,,
1,553,1,5,,,
1,590,1,4,,,
1,592,1,4,,,
1,593,1,4,,,
1,596,1,5,,,
1,608,1,5,,,
1,648,1,3,,,
1,661,1,5,,,
1,673,1,3,,,
1,733,1,4,,,
1,736,1,3,,,
1,780,1,3,,,
1,804,1,4,,,
1,919,1,5,,,
1,923,1,5,,,
1,940,1,5,,,
1,943,1,4,,,
1,954,1,5,,,
1,1009,1,3,,,
1,1023,1,5,,,
1,1024,1,5,,,
1,1025,1,5,,,
1,1029,1,5,,,
1,1030,1,3,,,
1,1031,1,5,,,
1,1032,1,5,,,
1,1042,1,4,,,
1,1049,1,5,,,
1,1060,1,4,,,
1,1073,1,5,,,
1,1080,1,5,,,
1,1089,1,5,,,
1,1090,1,4,,,
1,1092,1,5,,,
1,1097,1,5,,,
1,1127,1,4,,,
1,1136,1,5,,,
1,1196,1,5,,,
1,1197,1,5,,,
1,1198,1,5,,,
1,1206,1,5,,,
1,1208,1,4,,,
1,1210,1,5,,,
1,1213,1,5,,,
1,1214,1,4,,,
1,1219,1,2,,,
1,1220,1,5,,,
1,1222,1,5,,,
1,1224,1,5,,,
1,1226,1,5,,,
1,1240,1,5,,,
1,1256,1,5,,,
1,1258,1,3,,,
1,1265,1,4,,,
1,1270,1,5,,,
1,1275,1,5,,,
1,1278,1,5,,,
1,1282,1,5,,,
1,1291,1,5,,,
1,1298,1,5,,,
1,1348,1,4,,,
1,1377,1,3,,,
1,1396,1,3,,,
1,1408,1,3,,,
1,1445,1,3,,,
1,1473,1,4,,,
1,1500,1,4,,,
1,1517,1,5,,,
1,1552,1,4,,,
1,1573,1,5,,,
1,1580,1,3,,,
1,1587,1,5,,,
1,1617,1,5,,,
1,1620,1,4,,,
1,1625,1,5,,,
1,1644,1,3,,,
1,1676,1,3,,,
1,1732,1,5,,,
1,1777,1,4,,,
1,1793,1,4,,,
1,1804,1,5,,,
1,1805,1,4,,,
1,1920,1,4,,,
1,1927,1,5,,,
1,1954,1,5,,,
1,1967,1,4,,,
1,2000,1,4,,,
1,2005,1,5,,,
1,2012,1,4,,,
1,2018,1,5,,,
1,2028,1,4,,,
1,2033,1,5,,,
1,2046,1,4,,,
1,2048,1,5,,,
1,2054,1,4,,,
1,2058,1,5,,,
1,2078,1,5,,,
1,2090,1,5,,,
1,2093,1,3,,,
1,2094,1,5,,,
1,2096,1,4,,,
1,2099,1,4,,,
1,2105,1,4,,,
1,2115,1,5,,,
1,2116,1,5,,,
1,2137,1,5,,,
1,2139,1,5,,,
1,2141,1,5,,,
1,2143,1,4,,,
1,2161,1,5,,,
1,2174,1,4,,,
1,2193,1,4,,,
1,2253,1,2,,,
1,2268,1,4,,,
1,2273,1,4,,,
1,2291,1,5,,,
1,2329,1,5,,,
1,2338,1,2,,,
1,2353,1,5,,,
1,2366,1,4,,,
1,2387,1,5,,,
1,2389,1,2,,,
1,2395,1,5,,,
1,2406,1,4,,,
1,2414,1,3,,,
1,2427,1,5,,,
1,2450,1,4,,,
1,2459,1,5,,,
1,2470,1,5,,,
1,2478,1,4,,,
1,2492,1,4,,,
1,2502,1,5,,,
1,2528,1,3,,,
1,2529,1,5,,,
1,2542,1,5,,,
1,2571,1,5,,,
1,2580,1,5,,,
1,2596,1,5,,,
1,2616,1,4,,,
1,2617,1,2,,,
1,2628,1,4,,,
1,2640,1,4,,,
